auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.932,0.9728,0.9321,0.8182,0.9,0.8571,CreditCard,B,FTTransformer,0.09090909090909091,2200,200
0.5859,0.9398,0.5897,0.5409,0.595,0.5667,NSL-KDD,D,DeepSVDD,0.09090909090909091,2200,200
0.7631,0.9515,0.7679,0.7318,0.805,0.7667,CreditCard,B,VAE,0.09090909090909091,2200,200
0.8458,0.9879,0.8469,0.7818,0.86,0.819,AnnThyroid,D,DevNet,0.09090909090909091,1100,100
0.6574,0.8523,0.6179,0.6773,0.745,0.7095,NSL-KDD,A,SO_GAAL,0.09090909090909091,2200,200
0.2273,0.5824,0.1414,0.1935,0.24,0.2143,AnnThyroid,B,SO_GAAL,0.09090909090909091,1100,100
0.1063,0.7975,0.1113,0.1238,0.2826,0.1722,EmailSpam-bert,A,VAE,0.04397705544933078,1046,46
0.2465,0.7552,0.2505,0.2455,0.27,0.2571,AnnThyroid,D,AE,0.09090909090909091,1100,100
0.5966,0.9402,0.6036,0.6636,0.73,0.6952,AnnThyroid,D,FEAWAD,0.09090909090909091,1100,100
0.9568,0.9732,0.9569,0.8545,0.94,0.8952,NSL-KDD,D,DevNet,0.09090909090909091,2200,200
0.3379,0.805,0.3406,0.3091,0.34,0.3238,NSL-KDD,D,LUNAR,0.09090909090909091,2200,200
0.3122,0.7076,0.2127,0.2713,0.35,0.3057,AnnThyroid,D,SO_GAAL,0.09090909090909091,1100,100
0.6916,0.9109,0.4941,0.5363,0.85,0.6576,CreditCard,A,SO_GAAL,0.09090909090909091,2200,200
0.6956,0.9753,0.6983,0.7955,0.875,0.8333,NSL-KDD,C,FEAWAD,0.09090909090909091,2200,200
0.7835,0.9534,0.7881,0.7545,0.83,0.7905,CreditCard,A,VAE,0.09090909090909091,2200,200
0.9409,0.9713,0.9409,0.8273,0.91,0.8667,CreditCard,A,FTTransformer,0.09090909090909091,2200,200
0.0995,0.6353,0.1036,0.1048,0.2391,0.1457,EmailSpam-bert,A,DeepSVDD,0.04397705544933078,1046,46
0.6704,0.9379,0.6724,0.6364,0.7,0.6667,CreditCard,A,DeepSVDD,0.09090909090909091,2200,200
0.5822,0.9188,0.588,0.6091,0.67,0.6381,CreditCard,C,AE,0.09090909090909091,2200,200
0.6908,0.9387,0.6925,0.6955,0.765,0.7286,CreditCard,B,LUNAR,0.09090909090909091,2200,200
