model;dataset;scenario;time
FTTransformer;CreditCard;B;210.02
FEAWAD;CreditCard;B;263.36
DevNet;CreditCard;B;13.09
FTTransformer;CreditCard;C;362.98
FEAWAD;CreditCard;C;261.27
DevNet;CreditCard;C;12.83
FTTransformer;CreditCard;D;349.99
FEAWAD;CreditCard;D;261.9
DevNet;CreditCard;D;12.33
FTTransformer;CreditCard;E;369.1
FEAWAD;CreditCard;E;261.86
DevNet;CreditCard;E;12.87
AE;AnnThyroid;A;2.57
VAE;AnnThyroid;A;15.82
DeepSVDD;AnnThyroid;A;3.36
DAGMM;AnnThyroid;A;12.67
SO_GAAL;AnnThyroid;A;4.09
LUNAR;AnnThyroid;A;3.07
GANoma;AnnThyroid;A;5.44
FTTransformer;AnnThyroid;B;97.49000000000001
FEAWAD;AnnThyroid;B;265.7
DevNet;AnnThyroid;B;13.29
FTTransformer;AnnThyroid;C;81.01
FEAWAD;AnnThyroid;C;263.85
DevNet;AnnThyroid;C;12.68
FTTransformer;AnnThyroid;D;121.74
FEAWAD;AnnThyroid;D;259.91
DevNet;AnnThyroid;D;13.45
FTTransformer;AnnThyroid;E;160.45
FEAWAD;AnnThyroid;E;262.26
DevNet;AnnThyroid;E;13.38
AE;EmailSpam-bert;A;1.89
VAE;EmailSpam-bert;A;28.12
DeepSVDD;EmailSpam-bert;A;3.8
DAGMM;EmailSpam-bert;A;10.81
SO_GAAL;EmailSpam-bert;A;12.4
LUNAR;EmailSpam-bert;A;3.19
GANoma;EmailSpam-bert;A;7.95
FTTransformer;EmailSpam-bert;B;2734.08
FEAWAD;EmailSpam-bert;B;381.04
DevNet;EmailSpam-bert;B;12.66
FTTransformer;EmailSpam-bert;C;3962.01
FEAWAD;EmailSpam-bert;C;385.97
DevNet;EmailSpam-bert;C;12.79
FTTransformer;EmailSpam-bert;D;1635.71
FEAWAD;EmailSpam-bert;D;376.85
DevNet;EmailSpam-bert;D;12.93
FTTransformer;EmailSpam-bert;E;2817.45
FEAWAD;EmailSpam-bert;E;374.77
DevNet;EmailSpam-bert;E;12.74
AE;NSL-KDD;A;5.19
VAE;NSL-KDD;A;28.58
DeepSVDD;NSL-KDD;A;5.75
DAGMM;NSL-KDD;A;22.29
SO_GAAL;NSL-KDD;A;19.95
LUNAR;NSL-KDD;A;5.12
GANoma;NSL-KDD;A;13.37
FTTransformer;NSL-KDD;B;694.28
FEAWAD;NSL-KDD;B;266.99
DevNet;NSL-KDD;B;13.11
FTTransformer;NSL-KDD;C;937.37
FEAWAD;NSL-KDD;C;271.29
DevNet;NSL-KDD;C;12.66
FTTransformer;NSL-KDD;D;968.27
FEAWAD;NSL-KDD;D;275.18
DevNet;NSL-KDD;D;12.69
FTTransformer;NSL-KDD;E;1014.69
FEAWAD;NSL-KDD;E;274.6
DevNet;NSL-KDD;E;13.09
AE;CreditCard;A;4.27
VAE;CreditCard;A;27.58
DeepSVDD;CreditCard;A;6.06
DAGMM;CreditCard;A;22.98
SO_GAAL;CreditCard;A;19.44
LUNAR;CreditCard;A;4.52
GANoma;CreditCard;A;10.09
FTTransformer;CreditCard;B;230.75
FEAWAD;CreditCard;B;266.73
DevNet;CreditCard;B;13.53
FTTransformer;CreditCard;C;356.76
FEAWAD;CreditCard;C;261.59
DevNet;CreditCard;C;13.17
FTTransformer;CreditCard;D;389.36
FEAWAD;CreditCard;D;259.53
DevNet;CreditCard;D;13.17
FTTransformer;CreditCard;E;396.90999999999997
FEAWAD;CreditCard;E;264.34
DevNet;CreditCard;E;12.57
AE;AnnThyroid;A;2.74
VAE;AnnThyroid;A;15.41
DeepSVDD;AnnThyroid;A;3.36
DAGMM;AnnThyroid;A;13.11
SO_GAAL;AnnThyroid;A;4.09
LUNAR;AnnThyroid;A;3.29
GANoma;AnnThyroid;A;5.63
FTTransformer;AnnThyroid;B;80.85
FEAWAD;AnnThyroid;B;257.13
DevNet;AnnThyroid;B;13.42
FTTransformer;AnnThyroid;C;107.89
FEAWAD;AnnThyroid;C;261.0
DevNet;AnnThyroid;C;13.28
FTTransformer;AnnThyroid;D;149.98
FEAWAD;AnnThyroid;D;261.75
DevNet;AnnThyroid;D;12.78
FTTransformer;AnnThyroid;E;158.8
FEAWAD;AnnThyroid;E;256.86
DevNet;AnnThyroid;E;13.55
AE;EmailSpam-bert;A;2.41
VAE;EmailSpam-bert;A;29.27
DeepSVDD;EmailSpam-bert;A;3.57
DAGMM;EmailSpam-bert;A;10.5
SO_GAAL;EmailSpam-bert;A;12.43
LUNAR;EmailSpam-bert;A;3.32
GANoma;EmailSpam-bert;A;8.09
FTTransformer;EmailSpam-bert;B;2722.41
FEAWAD;EmailSpam-bert;B;377.05
DevNet;EmailSpam-bert;B;12.72
FTTransformer;EmailSpam-bert;C;4224.78
FEAWAD;EmailSpam-bert;C;378.11
DevNet;EmailSpam-bert;C;12.88
FTTransformer;EmailSpam-bert;D;1785.78
FEAWAD;EmailSpam-bert;D;379.74
DevNet;EmailSpam-bert;D;12.92
FTTransformer;EmailSpam-bert;E;2977.88
FEAWAD;EmailSpam-bert;E;377.12
DevNet;EmailSpam-bert;E;12.8
AE;NSL-KDD;A;5.75
VAE;NSL-KDD;A;29.58
DeepSVDD;NSL-KDD;A;5.7
DAGMM;NSL-KDD;A;22.4
SO_GAAL;NSL-KDD;A;22.83
LUNAR;NSL-KDD;A;5.68
GANoma;NSL-KDD;A;16.21
FTTransformer;NSL-KDD;B;614.71
FEAWAD;NSL-KDD;B;268.75
DevNet;NSL-KDD;B;13.35
FTTransformer;NSL-KDD;C;931.0
FEAWAD;NSL-KDD;C;269.5
DevNet;NSL-KDD;C;12.61
FTTransformer;NSL-KDD;D;966.35
FEAWAD;NSL-KDD;D;268.47
DevNet;NSL-KDD;D;12.56
FTTransformer;NSL-KDD;E;958.72
FEAWAD;NSL-KDD;E;272.05
DevNet;NSL-KDD;E;13.42
AE;CreditCard;A;4.73
VAE;CreditCard;A;28.89
DeepSVDD;CreditCard;A;5.93
DAGMM;CreditCard;A;22.87
SO_GAAL;CreditCard;A;19.33
LUNAR;CreditCard;A;4.55
GANoma;CreditCard;A;9.8
FTTransformer;CreditCard;B;242.97
FEAWAD;CreditCard;B;262.67
DevNet;CreditCard;B;12.69
FTTransformer;CreditCard;C;241.71
FEAWAD;CreditCard;C;259.38
DevNet;CreditCard;C;12.53
FTTransformer;CreditCard;D;389.35
FEAWAD;CreditCard;D;261.62
DevNet;CreditCard;D;12.84
FTTransformer;CreditCard;E;350.63
FEAWAD;CreditCard;E;261.88
DevNet;CreditCard;E;12.49
AE;AnnThyroid;A;2.69
VAE;AnnThyroid;A;15.85
